plate_cambered
1.00000 0.00000 
0.99893 0.00021 
0.99582 0.00087 
0.99079 0.00197 
0.98395 0.00347 
0.97540 0.00531 
0.96519 0.00746 
0.95338 0.00984 
0.93999 0.01243 
0.92501 0.01518 
0.90840 0.01809 
0.89008 0.02114 
0.86989 0.02434 
0.84758 0.02769 
0.82274 0.03121 
0.79471 0.03494 
0.76226 0.03891 
0.72293 0.04321 
0.67009 0.04802 
0.55375 0.05429 
0.33976 0.04879 
0.28723 0.04423 
0.25044 0.04037 
0.22145 0.03699 
0.19736 0.03397 
0.17676 0.03124 
0.15880 0.02877 
0.14295 0.02651 
0.12883 0.02444 
0.11617 0.02254 
0.10476 0.02080 
0.09444 0.01920 
0.08508 0.01773 
0.07657 0.01637 
0.06882 0.01512 
0.06176 0.01396 
0.05532 0.01290 
0.04943 0.01191 
0.04406 0.01100 
0.03916 0.01015 
0.03469 0.00937 
0.03060 0.00865 
0.02688 0.00798 
0.02350 0.00736 
0.02042 0.00678 
0.01762 0.00625 
0.01509 0.00575 
0.01281 0.00529 
0.01075 0.00486 
0.00891 0.00446 
0.00728 0.00409 
0.00583 0.00373 
0.00456 0.00340 
0.00346 0.00309 
0.00252 0.00279 
0.00174 0.00249 
0.00111 0.00220 
0.00062 0.00191 
0.00027 0.00158 
0.00007 0.00118 
0.00000 0.00000 
0.00007 -0.00115 
0.00027 -0.00149 
0.00062 -0.00171 
0.00111 -0.00186 
0.00174 -0.00195 
0.00252 -0.00199 
0.00346 -0.00200 
0.00456 -0.00197 
0.00583 -0.00190 
0.00728 -0.00180 
0.00891 -0.00166 
0.01075 -0.00148 
0.01281 -0.00127 
0.01509 -0.00101 
0.01762 -0.00072 
0.02042 -0.00038 
0.02350 0.00001 
0.02688 0.00045 
0.03060 0.00095 
0.03469 0.00150 
0.03916 0.00212 
0.04406 0.00280 
0.04943 0.00356 
0.05532 0.00440 
0.06176 0.00532 
0.06882 0.00633 
0.07657 0.00745 
0.08508 0.00868 
0.09444 0.01003 
0.10476 0.01152 
0.11617 0.01315 
0.12883 0.01494 
0.14295 0.01691 
0.15880 0.01908 
0.17676 0.02148 
0.19736 0.02414 
0.22145 0.02710 
0.25044 0.03044 
0.28723 0.03425 
0.33976 0.03880 
0.55375 0.04429 
0.67009 0.03804 
0.72293 0.03326 
0.76226 0.02903 
0.79471 0.02518 
0.82274 0.02164 
0.84758 0.01839 
0.86989 0.01541 
0.89008 0.01271 
0.90840 0.01029 
0.92501 0.00816 
0.93999 0.00632 
0.95338 0.00475 
0.96519 0.00346 
0.97540 0.00241 
0.98395 0.00157 
0.99079 0.00093 
0.99582 0.00044 
0.99893 0.00013 
1.00000 0.00000 
